锚点日期,训练日期数,模型实际训练日期数,稳定特征数,稳定特征Top10,预测上涨概率,预测未来5日上涨比例,融合预测上涨比例,预测市场方向,预测市场状态,实际未来5日上涨比例,实际市场方向,实际市场状态,市场方向预测是否准确
2026-02-02,193,74,30,当日平均涨跌幅_近20日最高|当日上涨比例_近20日最高|当日涨跌幅标准差_近10日均值|当日强涨比例_5pct_近10日标准差|当日涨跌幅标准差_近10日标准差|当日平均振幅_近10日均值|当日平均涨跌幅_近10日最高|当日强涨比例_5pct_近5日标准差|当日大涨比例_3pct_近10日均值|当日大涨比例_3pct_近10日标准差,92.76%,68.16%,79.23%,上涨,强上涨,84.30%,上涨,强上涨,1
2026-02-09,198,70,30,当日涨跌幅标准差_近10日标准差|当日涨跌幅标准差_近10日均值|当日平均涨跌幅_近20日最高|当日上涨比例_近20日最高|当日平均涨跌幅_近10日最高|当日平均振幅_近10日均值|当日大涨比例_3pct_近10日均值|中证1000_5日涨跌幅_均值_近5日标准差|当日强涨比例_5pct_近10日标准差|当日强涨比例_5pct_近3日标准差,10.38%,17.49%,14.29%,下跌,强下跌,55.80%,上涨,普涨,0
2026-02-24,202,70,30,当日涨跌幅标准差_近10日标准差|当日涨跌幅标准差_近10日均值|当日平均涨跌幅_近20日最高|当日上涨比例_近20日最高|沪深300_5日涨跌幅_均值_近3日标准差|中证1000_5日涨跌幅_均值_近5日标准差|弱势延续风险特征|当日大涨比例_3pct_近10日均值|当日平均振幅_近10日均值|中证1000_5日涨跌幅_均值_近3日标准差,59.84%,49.99%,54.42%,上涨,震荡,22.87%,下跌,强下跌,0
2026-03-03,203,71,30,当日涨跌幅标准差_近10日标准差|当日涨跌幅标准差_近10日均值|当日平均涨跌幅_近20日最高|当日上涨比例_近20日最高|沪深300_5日涨跌幅_均值_近3日标准差|中证1000_5日涨跌幅_均值_近5日标准差|弱势延续风险特征|当日大涨比例_3pct_近10日均值|当日强涨比例_5pct_近3日标准差|当日涨跌幅极差,55.90%,53.62%,54.65%,上涨,震荡,69.06%,上涨,普涨,1
2026-03-10,210,72,30,沪深300_5日涨跌幅_均值_近3日标准差|当日平均涨跌幅_近20日最高|沪深300_5日涨跌幅_均值_近5日标准差|当日上涨比例_近20日最高|当日涨跌幅极差|中证1000_5日涨跌幅_均值_近5日标准差|弱势延续风险特征|中证1000_5日涨跌幅_均值_近3日标准差|中证500_5日涨跌幅_均值_近5日标准差|当日涨跌幅标准差_近10日标准差,89.95%,43.40%,64.35%,上涨,普涨,21.33%,下跌,强下跌,0
2026-03-17,218,73,30,沪深300_5日涨跌幅_均值_近3日标准差|沪深300_5日涨跌幅_均值_近5日标准差|当日涨跌幅极差|当日平均涨跌幅_近20日最高|当日上涨比例_近20日最高|中证1000_5日涨跌幅_均值_近3日标准差|中证1000_5日涨跌幅_均值_近5日标准差|当日大涨比例_3pct_近10日均值|当日强涨比例_5pct_近3日均值|当日大涨比例_3pct_近5日均值,91.09%,75.79%,82.67%,上涨,强上涨,11.11%,下跌,强下跌,0
2026-03-24,223,74,30,当日上涨比例_近20日最高|当日涨跌幅极差|当日平均涨跌幅_近20日最高|当日平均换手率_近5日标准差|沪深300_5日涨跌幅_均值_近3日标准差|当日大涨比例_3pct_近10日均值|当日大涨比例_3pct_近5日均值|当日平均成交额_近10日均值|当日平均振幅_近10日均值|沪深300_5日涨跌幅_均值_近10日均值,36.72%,23.20%,29.28%,下跌,强下跌,53.98%,上涨,震荡,0
2026-03-31,228,74,30,当日上涨比例_近20日最高|当日涨跌幅极差|当日平均换手率_近5日标准差|当日平均涨跌幅_近20日最高|沪深300_5日涨跌幅_均值_近3日标准差|小盘强于中盘_5日_近5日标准差|当日大涨比例_3pct_近10日均值|沪深300_5日涨跌幅_均值_近5日标准差|小盘强于中盘_5日|股票数量,24.21%,28.81%,26.74%,下跌,强下跌,81.50%,上涨,强上涨,0
2026-04-08,233,73,30,当日涨跌幅极差|当日平均换手率_近5日标准差|沪深300_5日涨跌幅_均值_近3日标准差|小盘强于中盘_5日_近5日标准差|当日上涨比例_近20日最高|当日接近跌停比例|当日平均涨跌幅_近20日最高|沪深300_5日涨跌幅_均值_近5日标准差|小盘强于中盘_5日|股票数量,16.91%,6.15%,10.99%,下跌,强下跌,54.63%,上涨,震荡,0
2026-04-15,238,76,30,当日涨跌幅极差|沪深300_5日涨跌幅_均值_近3日标准差|当日平均换手率_近5日标准差|小盘强于中盘_5日_近5日标准差|沪深300_5日涨跌幅_均值_近5日标准差|当日接近跌停比例|当日平均成交额_近10日均值|中证1000强于沪深300_5日_近3日斜率|当日平均换手率_近3日标准差|当日平均成交额,55.24%,88.07%,73.29%,上涨,强上涨,73.13%,上涨,强上涨,1
