锚点日期,训练样本数,特征集合,特征数量,日期,代码,名称,行业,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,换手率,预测上涨概率,方向阈值,预测涨跌,实际涨跌,涨跌预测是否准确,未来卖出日期,市场未来5日上涨比例,实际市场方向,实际市场状态,恐慌释放特征,过热回落风险特征,弱势延续风险特征,当日上涨比例,当日平均涨跌幅,当日上涨比例_近5日变化,当日平均涨跌幅_近5日变化,上涨行业比例,行业强涨比例_1pct,行业强跌比例_1pct,行业强跌比例_1pct_近5日变化,连续上涨天数,连续弱势天数,上证指数_10日涨跌幅,上证指数_20日涨跌幅,上证指数_20日位置,沪深300_20日涨跌幅,沪深300_20日位置,中证500_20日涨跌幅,中证500_20日位置,中证1000_20日涨跌幅,中证1000_20日位置,5日后的实际涨跌幅,行业平均涨跌幅,行业上涨比例,个股强于行业,距上个交易日自然天数,星期几,是否周一,是否长假后首日,长假后第几个交易日,是否长假后三日内,是否长假后五日内,是否噪声样本,市场风险标签,原始预测涨跌,原始预测是否准确,完整规则修正原因,修正原因,修正后预测涨跌,修正后预测是否准确,是否发生修正
2025-10-09,35401,core_v14,52,2025-10-09,002415,海康威视,计算机设备,31.4277492,33.77000598,34.26415298,31.4277492,291095522.0,9883137909.12,9.11,8.4074,3.2178,0.5548711681702987,0.345,上涨,下跌,0,2025-10-16,0.3194444444444444,下跌,普跌,1,0,0,0.6064814814814815,1.3666837962962963,-0.1656115417743324,-0.0622682967269594,0.6081081081081081,0.5135135135135135,0.2432432432432432,0.2162162162162162,3,0,0.0148675004306251,0.0315757212047147,1.0,0.0559780131509957,1.0,0.0990703813364899,1.0,0.061216054257519,1.0,-0.0109566453799011,-0.4634749999999997,0.5,8.870875,9.0,4,0,1,1,1,1,True,常规环境,上涨,0,短线冲高且个股显著强于行业，原始上涨改下跌,不修正,上涨,0,0
2025-10-09,35401,core_v14,52,2025-10-09,600456,宝钛股份,小金属,32.75,33.19,33.2,32.6,18041858.0,594657987.83,1.84,2.0289,3.7762,0.5462168812362401,0.345,上涨,下跌,0,2025-10-16,0.3194444444444444,下跌,普跌,1,0,0,0.6064814814814815,1.3666837962962963,-0.1656115417743324,-0.0622682967269594,0.6081081081081081,0.5135135135135135,0.2432432432432432,0.2162162162162162,3,0,0.0148675004306251,0.0315757212047147,1.0,0.0559780131509957,1.0,0.0990703813364899,1.0,0.061216054257519,1.0,-0.0235010545344983,3.941775,1.0,-1.912875,9.0,4,0,1,1,1,1,False,常规环境,上涨,0,不修正,不修正,上涨,0,0
2025-10-09,35401,core_v14,52,2025-10-09,600096,云天化,农化制品,27.12,28.56,28.65,27.04,67806297.0,1885155673.04,6.01,6.5672,3.7195,0.5447353970265837,0.345,上涨,下跌,0,2025-10-16,0.3194444444444444,下跌,普跌,1,0,0,0.6064814814814815,1.3666837962962963,-0.1656115417743324,-0.0622682967269594,0.6081081081081081,0.5135135135135135,0.2432432432432432,0.2162162162162162,3,0,0.0148675004306251,0.0315757212047147,1.0,0.0559780131509957,1.0,0.0990703813364899,1.0,0.061216054257519,1.0,-0.0213585434173669,5.4749,1.0,1.0922999999999998,9.0,4,0,1,1,1,1,False,常规环境,上涨,0,不修正,不修正,上涨,0,0
2025-10-09,35401,core_v14,52,2025-10-09,002128,电投能源,煤炭开采,22.792609,23.71422319,23.783592,22.67369104,15058547.0,353144769.13,4.96,6.0257,0.6718,0.5418544864955195,0.345,上涨,上涨,1,2025-10-16,0.3194444444444444,下跌,普跌,1,0,0,0.6064814814814815,1.3666837962962963,-0.1656115417743324,-0.0622682967269594,0.6081081081081081,0.5135135135135135,0.2432432432432432,0.2162162162162162,3,0,0.0148675004306251,0.0315757212047147,1.0,0.0559780131509957,1.0,0.0990703813364899,1.0,0.061216054257519,1.0,0.0045967404931051,6.0257,1.0,0.0,9.0,4,0,1,1,1,1,True,常规环境,上涨,1,不修正,不修正,上涨,1,0
2025-10-09,35401,core_v14,52,2025-10-09,002558,巨人网络,游戏Ⅱ,45.17,42.54,45.55,42.1,76710024.0,3294935581.62,7.64,-5.8433,3.9649,0.5394675019785211,0.345,上涨,下跌,0,2025-10-16,0.3194444444444444,下跌,普跌,1,0,0,0.6064814814814815,1.3666837962962963,-0.1656115417743324,-0.0622682967269594,0.6081081081081081,0.5135135135135135,0.2432432432432432,0.2162162162162162,3,0,0.0148675004306251,0.0315757212047147,1.0,0.0559780131509957,1.0,0.0990703813364899,1.0,0.061216054257519,1.0,-0.0700517160319698,-5.8433,0.0,0.0,9.0,4,0,1,1,1,1,False,常规环境,上涨,0,不修正,不修正,上涨,0,0
2025-10-09,35401,core_v14,52,2025-10-09,603396,金辰股份,光伏设备,28.2,29.72,30.58,28.06,7894337.0,231996513.05,8.97,5.8028,5.6988,0.5324147927088853,0.345,上涨,下跌,0,2025-10-16,0.3194444444444444,下跌,普跌,1,0,0,0.6064814814814815,1.3666837962962963,-0.1656115417743324,-0.0622682967269594,0.6081081081081081,0.5135135135135135,0.2432432432432432,0.2162162162162162,3,0,0.0148675004306251,0.0315757212047147,1.0,0.0559780131509957,1.0,0.0990703813364899,1.0,0.061216054257519,1.0,-0.0195154777927321,5.8028,1.0,0.0,9.0,4,0,1,1,1,1,True,常规环境,上涨,0,不修正,不修正,上涨,0,0
2025-10-09,35401,core_v14,52,2025-10-09,002895,川恒股份,农化制品,29.89,31.18,31.43,29.72,25427527.0,780075445.23,5.84,6.5619,4.2619,0.5233225260884574,0.345,上涨,下跌,0,2025-10-16,0.3194444444444444,下跌,普跌,1,0,0,0.6064814814814815,1.3666837962962963,-0.1656115417743324,-0.0622682967269594,0.6081081081081081,0.5135135135135135,0.2432432432432432,0.2162162162162162,3,0,0.0148675004306251,0.0315757212047147,1.0,0.0559780131509957,1.0,0.0990703813364899,1.0,0.061216054257519,1.0,-0.0628608082103913,5.4749,1.0,1.0869999999999995,9.0,4,0,1,1,1,1,False,常规环境,上涨,0,不修正,不修正,上涨,0,0
2025-10-09,35401,core_v14,52,2025-10-09,600141,兴发集团,农化制品,28.58,29.8,29.97,27.92,36682636.0,1059034285.28,7.28,5.7863,3.3249,0.5215845441851574,0.345,上涨,下跌,0,2025-10-16,0.3194444444444444,下跌,普跌,1,0,0,0.6064814814814815,1.3666837962962963,-0.1656115417743324,-0.0622682967269594,0.6081081081081081,0.5135135135135135,0.2432432432432432,0.2162162162162162,3,0,0.0148675004306251,0.0315757212047147,1.0,0.0559780131509957,1.0,0.0990703813364899,1.0,0.061216054257519,1.0,-0.0845637583892617,5.4749,1.0,0.3113999999999999,9.0,4,0,1,1,1,1,False,常规环境,上涨,0,不修正,不修正,上涨,0,0
2025-10-09,35401,core_v14,52,2025-10-09,000807,云铝股份,工业金属,21.0062091,21.34151948,21.41055397,20.37503662,84699573.0,1799896418.99,5.1,5.0485,2.4424,0.5209574837400971,0.345,上涨,下跌,0,2025-10-16,0.3194444444444444,下跌,普跌,1,0,0,0.6064814814814815,1.3666837962962963,-0.1656115417743324,-0.0622682967269594,0.6081081081081081,0.5135135135135135,0.2432432432432432,0.2162162162162162,3,0,0.0148675004306251,0.0315757212047147,1.0,0.0559780131509957,1.0,0.0990703813364899,1.0,0.061216054257519,1.0,-0.0392791127541589,8.20886,1.0,-3.16036,9.0,4,0,1,1,1,1,False,常规环境,上涨,0,不修正,不修正,上涨,0,0
2025-10-09,35401,core_v14,52,2025-10-09,000933,神火股份,工业金属,20.68,21.21,21.24,20.08,79086099.0,1637621258.88,5.8,5.997,3.5186,0.5182075260836005,0.345,上涨,上涨,1,2025-10-16,0.3194444444444444,下跌,普跌,1,0,0,0.6064814814814815,1.3666837962962963,-0.1656115417743324,-0.0622682967269594,0.6081081081081081,0.5135135135135135,0.2432432432432432,0.2162162162162162,3,0,0.0148675004306251,0.0315757212047147,1.0,0.0559780131509957,1.0,0.0990703813364899,1.0,0.061216054257519,1.0,0.0565770862800565,8.20886,1.0,-2.2118599999999997,9.0,4,0,1,1,1,1,False,常规环境,上涨,1,不修正,不修正,上涨,1,0
2025-10-09,35401,core_v14,52,2025-10-09,002273,水晶光电,光学光电子,27.0,28.35,29.08,27.0,141390686.0,4033986340.4,7.87,7.2239,10.3795,0.5166019601805135,0.345,上涨,下跌,0,2025-10-16,0.3194444444444444,下跌,普跌,1,0,0,0.6064814814814815,1.3666837962962963,-0.1656115417743324,-0.0622682967269594,0.6081081081081081,0.5135135135135135,0.2432432432432432,0.2162162162162162,3,0,0.0148675004306251,0.0315757212047147,1.0,0.0559780131509957,1.0,0.0990703813364899,1.0,0.061216054257519,1.0,-0.1266313932980599,2.0504,0.6666666666666666,5.173500000000001,9.0,4,0,1,1,1,1,False,常规环境,上涨,0,短线冲高且个股显著强于行业，原始上涨改下跌,不修正,上涨,0,0
2025-10-09,35401,core_v14,52,2025-10-09,603288,海天味业,调味发酵品Ⅱ,38.57273136,39.02909598,39.06877986,37.9973151,16683955.0,648105898.74,2.77,0.9754,0.3,0.5156472482043978,0.345,上涨,上涨,1,2025-10-16,0.3194444444444444,下跌,普跌,1,0,0,0.6064814814814815,1.3666837962962963,-0.1656115417743324,-0.0622682967269594,0.6081081081081081,0.5135135135135135,0.2432432432432432,0.2162162162162162,3,0,0.0148675004306251,0.0315757212047147,1.0,0.0559780131509957,1.0,0.0990703813364899,1.0,0.061216054257519,1.0,0.010930350788002,1.09455,1.0,-0.1191499999999998,9.0,4,0,1,1,1,1,True,常规环境,上涨,1,不修正,不修正,上涨,1,0
2025-10-09,35401,core_v14,52,2025-10-09,000792,盐湖股份,农化制品,21.45,22.41,22.47,21.1,162869278.0,3575292082.3,6.57,7.482,3.0779,0.5135536771616643,0.345,上涨,下跌,0,2025-10-16,0.3194444444444444,下跌,普跌,1,0,0,0.6064814814814815,1.3666837962962963,-0.1656115417743324,-0.0622682967269594,0.6081081081081081,0.5135135135135135,0.2432432432432432,0.2162162162162162,3,0,0.0148675004306251,0.0315757212047147,1.0,0.0559780131509957,1.0,0.0990703813364899,1.0,0.061216054257519,1.0,-0.003123605533244,5.4749,1.0,2.0071000000000003,9.0,4,0,1,1,1,1,True,常规环境,上涨,0,短线冲高且个股显著强于行业，原始上涨改下跌,不修正,上涨,0,0
2025-10-09,35401,core_v14,52,2025-10-09,601168,西部矿业,工业金属,23.0110848,24.169629,24.169629,22.78137345,100800591.0,2393963901.06,6.32,10.0,4.23,0.5116985317885643,0.345,上涨,下跌,0,2025-10-16,0.3194444444444444,下跌,普跌,1,0,0,0.6064814814814815,1.3666837962962963,-0.1656115417743324,-0.0622682967269594,0.6081081081081081,0.5135135135135135,0.2432432432432432,0.2162162162162162,3,0,0.0148675004306251,0.0315757212047147,1.0,0.0559780131509957,1.0,0.0990703813364899,1.0,0.061216054257519,1.0,-0.0549586776859504,8.20886,1.0,1.7911400000000004,9.0,4,0,1,1,1,1,False,常规环境,上涨,0,不修正,不修正,上涨,0,0
2025-10-09,35401,core_v14,52,2025-10-09,002978,安宁股份,小金属,33.0,33.59,33.73,32.65,10900552.0,362710378.31,3.34,3.801,2.9462,0.5114907320757153,0.345,上涨,下跌,0,2025-10-16,0.3194444444444444,下跌,普跌,1,0,0,0.6064814814814815,1.3666837962962963,-0.1656115417743324,-0.0622682967269594,0.6081081081081081,0.5135135135135135,0.2432432432432432,0.2162162162162162,3,0,0.0148675004306251,0.0315757212047147,1.0,0.0559780131509957,1.0,0.0990703813364899,1.0,0.061216054257519,1.0,-0.0148853825543316,3.941775,1.0,-0.1407750000000001,9.0,4,0,1,1,1,1,True,常规环境,上涨,0,不修正,不修正,上涨,0,0
2025-10-09,35401,core_v14,52,2025-10-09,002001,新 和 成,化学制品,23.6953682,24.84543628,24.95449446,23.25913548,53851187.0,1311070341.42,7.18,5.1616,1.7733,0.5113460168562266,0.345,上涨,下跌,0,2025-10-16,0.3194444444444444,下跌,普跌,1,0,0,0.6064814814814815,1.3666837962962963,-0.1656115417743324,-0.0622682967269594,0.6081081081081081,0.5135135135135135,0.2432432432432432,0.2162162162162162,3,0,0.0148675004306251,0.0315757212047147,1.0,0.0559780131509957,1.0,0.0990703813364899,1.0,0.061216054257519,1.0,-0.0474860335195531,2.664525,0.8333333333333334,2.497075,9.0,4,0,1,1,1,1,False,常规环境,上涨,0,短线冲高且个股显著强于行业，原始上涨改下跌,不修正,上涨,0,0
2025-10-09,35401,core_v14,52,2025-10-09,001336,楚环科技,环保设备Ⅱ,23.21101972,22.68168063,23.49067056,22.52188015,1067700.0,24477818.0,4.19,-1.8158,2.292,0.5102405496654464,0.345,上涨,下跌,0,2025-10-16,0.3194444444444444,下跌,普跌,1,0,0,0.6064814814814815,1.3666837962962963,-0.1656115417743324,-0.0622682967269594,0.6081081081081081,0.5135135135135135,0.2432432432432432,0.2162162162162162,3,0,0.0148675004306251,0.0315757212047147,1.0,0.0559780131509957,1.0,0.0990703813364899,1.0,0.061216054257519,1.0,-0.0123293703214442,-1.8158,0.0,0.0,9.0,4,0,1,1,1,1,True,常规环境,上涨,0,不修正,不修正,上涨,0,0
2025-10-09,35401,core_v14,52,2025-10-09,601899,紫金矿业,工业金属,31.22,32.38,32.38,30.77,509343384.0,16065595631.68,5.47,9.9864,2.474,0.5080177482806982,0.345,上涨,下跌,0,2025-10-16,0.3194444444444444,下跌,普跌,1,0,0,0.6064814814814815,1.3666837962962963,-0.1656115417743324,-0.0622682967269594,0.6081081081081081,0.5135135135135135,0.2432432432432432,0.2162162162162162,3,0,0.0148675004306251,0.0315757212047147,1.0,0.0559780131509957,1.0,0.0990703813364899,1.0,0.061216054257519,1.0,-0.0589870290302657,8.20886,1.0,1.77754,9.0,4,0,1,1,1,1,False,常规环境,上涨,0,不修正,不修正,上涨,0,0
