锚点日期,实际市场状态,市场风险标签,股票预测数,原始正确数,原始预测上涨数,原始预测下跌数,实际上涨数,实际下跌数,原始准确率,降噪后股票预测数,降噪后原始正确数,降噪后原始准确率,修正后正确数,修正后预测上涨数,修正后预测下跌数,修正后准确率,降噪后修正正确数,降噪后修正准确率
2026-03-16,强下跌,常规环境,224,39,199,25,16,208,17.41%,217,34,15.67%,208,0,224,92.86%,206,94.93%
2026-03-19,强下跌,恐慌释放高+弱势延续高,223,38,223,0,38,185,17.04%,194,24,12.37%,185,0,223,82.96%,170,87.63%
2026-03-24,震荡,弱势延续高,222,120,222,0,120,102,54.05%,143,76,53.15%,136,180,42,61.26%,92,64.34%
2026-03-27,强下跌,常规环境,219,61,219,0,61,158,27.85%,154,35,22.73%,158,0,219,72.15%,119,77.27%
2026-04-01,震荡,常规环境,221,143,111,110,119,102,64.71%,124,91,73.39%,143,111,110,64.71%,91,73.39%
2026-04-07,强上涨,常规环境,224,186,223,1,187,37,83.04%,187,164,87.70%,186,223,1,83.04%,164,87.70%
2026-04-10,强上涨,过热回落高,221,161,197,24,161,60,72.85%,156,123,78.85%,161,197,24,72.85%,123,78.85%
2026-04-15,强上涨,常规环境,222,165,216,6,163,59,74.32%,156,126,80.77%,165,216,6,74.32%,126,80.77%
2026-04-20,普跌,常规环境,217,93,208,9,86,131,42.86%,154,66,42.86%,149,74,143,68.66%,108,70.13%
2026-04-24,普涨,常规环境,223,149,159,64,143,80,66.82%,147,101,68.71%,149,171,52,66.82%,101,68.71%
2026-04-27,普涨,常规环境,219,154,191,28,152,67,70.32%,152,117,76.97%,154,191,28,70.32%,117,76.97%
2026-04-28,强上涨,恐慌释放高,224,59,28,196,183,41,26.34%,192,42,21.88%,182,219,5,81.25%,167,86.98%
2026-04-29,强上涨,常规环境,221,174,216,5,173,48,78.73%,172,148,86.05%,174,216,5,78.73%,148,86.05%
2026-04-30,普涨,常规环境,223,157,186,37,154,69,70.40%,167,128,76.65%,157,186,37,70.40%,128,76.65%
2026-05-06,普涨,常规环境,220,136,149,71,147,73,61.82%,157,104,66.24%,148,187,33,67.27%,115,73.25%
2026-05-07,强下跌,过热回落高,218,46,198,20,26,192,21.10%,206,39,18.93%,184,8,210,84.40%,180,87.38%
