锚点日期,实际市场状态,市场风险标签,股票预测数,原始正确数,原始预测上涨数,原始预测下跌数,实际上涨数,实际下跌数,原始准确率,降噪后股票预测数,降噪后原始正确数,降噪后原始准确率,修正后正确数,修正后预测上涨数,修正后预测下跌数,修正后准确率,降噪后修正正确数,降噪后修正准确率
2026-03-02,强下跌,恐慌释放高,223,153,34,189,52,171,68.61%,175,125,71.43%,153,34,189,68.61%,125,71.43%
2026-03-03,普涨,恐慌释放高,223,160,213,10,154,69,71.75%,143,113,79.02%,160,213,10,71.75%,113,79.02%
2026-03-04,强上涨,弱势延续高,223,171,216,7,166,57,76.68%,148,121,81.76%,171,216,7,76.68%,121,81.76%
2026-03-05,普涨,弱势延续高,224,125,221,3,124,100,55.80%,138,82,59.42%,125,221,3,55.80%,82,59.42%
2026-03-06,普跌,弱势延续高,224,78,221,3,79,145,34.82%,145,54,37.24%,145,0,224,64.73%,91,62.76%
2026-03-09,震荡,弱势延续高,225,114,216,9,107,118,50.67%,142,76,53.52%,114,216,9,50.67%,76,53.52%
2026-03-10,强下跌,过热回落高,225,117,120,105,48,177,52.00%,173,90,52.02%,177,0,225,78.67%,145,83.82%
2026-03-11,强下跌,常规环境,225,158,33,192,52,173,70.22%,166,121,72.89%,158,33,192,70.22%,121,72.89%
2026-03-12,强下跌,恐慌释放高,225,69,171,54,37,188,30.67%,182,49,26.92%,188,0,225,83.56%,161,88.46%
2026-03-13,强下跌,常规环境,225,28,220,5,25,200,12.44%,191,20,10.47%,200,0,225,88.89%,174,91.10%
2026-03-16,强下跌,常规环境,225,39,200,25,16,209,17.33%,218,34,15.60%,209,0,225,92.89%,207,94.95%
2026-03-17,强下跌,弱势延续高,225,29,221,4,25,200,12.89%,208,23,11.06%,200,0,225,88.89%,189,90.87%
2026-03-18,强下跌,弱势延续高,226,34,218,8,26,200,15.04%,202,28,13.86%,200,0,226,88.50%,182,90.10%
2026-03-19,强下跌,恐慌释放高+弱势延续高,226,39,226,0,39,187,17.26%,197,25,12.69%,187,0,226,82.74%,172,87.31%
2026-03-20,普跌,弱势延续高,226,81,226,0,81,145,35.84%,156,49,31.41%,145,0,226,64.16%,107,68.59%
2026-03-23,强上涨,恐慌释放高+弱势延续高,226,185,226,0,185,41,81.86%,164,141,85.98%,185,226,0,81.86%,141,85.98%
2026-03-24,震荡,弱势延续高,226,122,226,0,122,104,53.98%,147,78,53.06%,139,183,43,61.50%,95,64.63%
2026-03-25,震荡,弱势延续高,226,117,226,0,117,109,51.77%,129,68,52.71%,131,174,52,57.96%,79,61.24%
2026-03-26,震荡,弱势延续高,226,120,224,2,118,108,53.10%,123,69,56.10%,120,224,2,53.10%,69,56.10%
2026-03-27,强下跌,常规环境,226,64,226,0,64,162,28.32%,161,38,23.60%,162,0,226,71.68%,123,76.40%
2026-03-30,普跌,常规环境,226,82,208,18,72,154,36.28%,141,46,32.62%,154,0,226,68.14%,104,73.76%
2026-03-31,强上涨,常规环境,227,99,81,146,185,42,43.61%,160,73,45.62%,185,227,0,81.50%,141,88.12%
