锚点日期,实际市场状态,市场风险标签,股票预测数,原始正确数,原始预测上涨数,原始预测下跌数,实际上涨数,实际下跌数,原始准确率,降噪后股票预测数,降噪后原始正确数,降噪后原始准确率,修正后正确数,修正后预测上涨数,修正后预测下跌数,修正后准确率,降噪后修正正确数,降噪后修正准确率
2025-10-09,普跌,常规环境,216,87,148,68,69,147,40.28%,154,60,38.96%,87,148,68,40.28%,60,38.96%
2025-10-10,强下跌,常规环境,216,52,196,20,44,172,24.07%,172,37,21.51%,52,196,20,24.07%,37,21.51%
2025-10-13,强下跌,常规环境,216,139,59,157,60,156,64.35%,155,99,63.87%,139,59,157,64.35%,99,63.87%
2025-10-14,震荡,恐慌释放高,216,109,209,7,108,108,50.46%,130,62,47.69%,109,209,7,50.46%,62,47.69%
2025-10-15,强下跌,常规环境,216,72,202,14,60,156,33.33%,149,48,32.21%,72,202,14,33.33%,48,32.21%
2025-10-16,普跌,弱势延续高,216,82,212,4,78,138,37.96%,146,58,39.73%,82,212,4,37.96%,58,39.73%
2025-10-17,强上涨,恐慌释放高+弱势延续高,216,172,214,2,170,46,79.63%,135,116,85.93%,172,214,2,79.63%,116,85.93%
2025-10-20,强上涨,弱势延续高,215,168,215,0,168,47,78.14%,144,120,83.33%,168,215,0,78.14%,120,83.33%
2025-10-21,普涨,常规环境,215,140,196,19,137,78,65.12%,118,83,70.34%,140,196,19,65.12%,83,70.34%
2025-10-22,强上涨,常规环境,215,165,213,2,163,52,76.74%,151,128,84.77%,165,213,2,76.74%,128,84.77%
2025-10-23,普涨,常规环境,215,132,212,3,131,84,61.40%,130,93,71.54%,132,212,3,61.40%,93,71.54%
2025-10-24,普涨,过热回落高,215,122,178,37,127,88,56.74%,126,77,61.11%,122,178,37,56.74%,77,61.11%
2025-10-27,震荡,过热回落高,215,109,167,48,117,98,50.70%,152,79,51.97%,109,167,48,50.70%,79,51.97%
2025-10-28,震荡,常规环境,215,117,1,214,97,118,54.42%,151,83,54.97%,117,1,214,54.42%,83,54.97%
2025-10-29,普跌,常规环境,215,97,122,93,78,137,45.12%,151,70,46.36%,97,122,93,45.12%,70,46.36%
2025-10-30,震荡,恐慌释放高,215,100,0,215,115,100,46.51%,138,62,44.93%,100,0,215,46.51%,62,44.93%
2025-10-31,普跌,常规环境,215,120,176,39,87,128,55.81%,141,87,61.70%,120,176,39,55.81%,87,61.70%
