锚点日期,实际市场状态,市场风险标签,股票预测数,原始正确数,原始预测上涨数,原始预测下跌数,实际上涨数,实际下跌数,原始准确率,降噪后股票预测数,降噪后原始正确数,降噪后原始准确率,修正后正确数,修正后预测上涨数,修正后预测下跌数,修正后准确率,降噪后修正正确数,降噪后修正准确率
2026-04-01,震荡,常规环境,227,109,97,130,121,106,48.02%,129,63,48.84%,109,97,130,48.02%,63,48.84%
2026-04-02,强上涨,恐慌释放高,227,175,214,13,174,53,77.09%,167,130,77.84%,175,214,13,77.09%,130,77.84%
2026-04-03,强上涨,弱势延续高,227,180,221,6,184,43,79.30%,186,159,85.48%,180,221,6,79.30%,159,85.48%
2026-04-07,强上涨,常规环境,227,186,222,5,189,38,81.94%,190,163,85.79%,186,222,5,81.94%,163,85.79%
2026-04-08,震荡,过热回落高,227,120,223,4,124,103,52.86%,125,78,62.40%,120,223,4,52.86%,78,62.40%
2026-04-09,强上涨,常规环境,227,85,85,142,183,44,37.44%,153,55,35.95%,85,85,142,37.44%,55,35.95%
2026-04-10,强上涨,过热回落高,227,141,185,42,165,62,62.11%,162,103,63.58%,141,185,42,62.11%,103,63.58%
2026-04-13,强上涨,常规环境,227,133,136,91,182,45,58.59%,157,93,59.24%,133,136,91,58.59%,93,59.24%
2026-04-14,普涨,过热回落高,227,152,220,7,155,72,66.96%,141,101,71.63%,152,220,7,66.96%,101,71.63%
2026-04-15,强上涨,常规环境,227,166,221,6,166,61,73.13%,160,125,78.12%,166,221,6,73.13%,125,78.12%
2026-04-16,震荡,过热回落高,228,120,166,62,110,118,52.63%,152,77,50.66%,120,166,62,52.63%,77,50.66%
2026-04-17,普跌,常规环境,228,91,223,5,92,136,39.91%,162,61,37.65%,136,0,228,59.65%,100,61.73%
2026-04-20,普跌,常规环境,228,93,222,6,89,139,40.79%,164,66,40.24%,124,97,131,54.39%,89,54.27%
2026-04-21,普跌,常规环境,228,146,17,211,79,149,64.04%,173,118,68.21%,146,19,209,64.04%,117,67.63%
2026-04-22,普跌,常规环境,227,87,222,5,84,143,38.33%,180,63,35.00%,143,0,227,63.00%,119,66.11%
2026-04-23,震荡,恐慌释放高,226,113,158,68,107,119,50.00%,166,84,50.60%,113,158,68,50.00%,84,50.60%
2026-04-24,普涨,常规环境,228,148,220,8,146,82,64.91%,152,100,65.79%,148,220,8,64.91%,100,65.79%
2026-04-27,普涨,常规环境,228,162,219,9,159,69,71.05%,159,126,79.25%,162,219,9,71.05%,126,79.25%
2026-04-28,强上涨,恐慌释放高,227,109,108,119,186,41,48.02%,195,96,49.23%,184,225,2,81.06%,170,87.18%
2026-04-29,强上涨,常规环境,228,179,228,0,179,49,78.51%,178,152,85.39%,179,228,0,78.51%,152,85.39%
2026-04-30,普涨,常规环境,228,156,226,2,158,70,68.42%,172,130,75.58%,156,226,2,68.42%,130,75.58%
