锚点日期,实际市场状态,市场风险标签,股票预测数,原始正确数,原始预测上涨数,原始预测下跌数,实际上涨数,实际下跌数,原始准确率,降噪后股票预测数,降噪后原始正确数,降噪后原始准确率,修正后正确数,修正后预测上涨数,修正后预测下跌数,修正后准确率,降噪后修正正确数,降噪后修正准确率
2026-04-01,震荡,常规环境,227,126,212,15,121,106,55.51%,129,75,58.14%,126,212,15,55.51%,75,58.14%
2026-04-02,强上涨,恐慌释放高,227,154,185,42,174,53,67.84%,167,126,75.45%,154,185,42,67.84%,126,75.45%
2026-04-03,强上涨,弱势延续高,227,173,210,17,184,43,76.21%,186,151,81.18%,173,210,17,76.21%,151,81.18%
2026-04-07,强上涨,常规环境,227,187,223,4,189,38,82.38%,190,166,87.37%,187,223,4,82.38%,166,87.37%
2026-04-08,震荡,过热回落高,227,135,162,65,124,103,59.47%,125,83,66.40%,135,162,65,59.47%,83,66.40%
2026-04-09,强上涨,常规环境,227,167,193,34,183,44,73.57%,153,122,79.74%,167,193,34,73.57%,122,79.74%
2026-04-10,强上涨,过热回落高,227,150,186,41,165,62,66.08%,162,122,75.31%,150,186,41,66.08%,122,75.31%
2026-04-13,强上涨,常规环境,227,65,22,205,182,45,28.63%,157,42,26.75%,65,22,205,28.63%,42,26.75%
2026-04-14,普涨,过热回落高,227,153,181,46,155,72,67.40%,141,105,74.47%,153,181,46,67.40%,105,74.47%
2026-04-15,强上涨,常规环境,227,170,195,32,166,61,74.89%,160,128,80.00%,170,195,32,74.89%,128,80.00%
2026-04-16,震荡,过热回落高,228,127,185,43,110,118,55.70%,152,91,59.87%,127,185,43,55.70%,91,59.87%
2026-04-17,普跌,常规环境,228,129,171,57,92,136,56.58%,162,95,58.64%,138,4,224,60.53%,103,63.58%
2026-04-20,普跌,常规环境,228,126,177,51,89,139,55.26%,164,93,56.71%,147,84,144,64.47%,108,65.85%
2026-04-21,普跌,常规环境,228,152,27,201,79,149,66.67%,173,125,72.25%,145,38,190,63.60%,118,68.21%
2026-04-22,普跌,常规环境,227,113,170,57,84,143,49.78%,180,91,50.56%,145,4,223,63.88%,121,67.22%
2026-04-23,震荡,恐慌释放高,226,129,180,46,107,119,57.08%,166,100,60.24%,129,180,46,57.08%,100,60.24%
2026-04-24,普涨,常规环境,228,152,204,24,146,82,66.67%,152,103,67.76%,151,209,19,66.23%,101,66.45%
2026-04-27,普涨,常规环境,228,165,222,6,159,69,72.37%,159,127,79.87%,165,222,6,72.37%,127,79.87%
2026-04-28,强上涨,恐慌释放高,227,181,216,11,186,41,79.74%,195,167,85.64%,186,227,0,81.94%,171,87.69%
2026-04-29,强上涨,常规环境,228,182,223,5,179,49,79.82%,178,155,87.08%,182,223,5,79.82%,155,87.08%
2026-04-30,普涨,常规环境,228,149,191,37,158,70,65.35%,172,121,70.35%,149,191,37,65.35%,121,70.35%
