锚点日期,实际市场状态,市场风险标签,股票预测数,原始正确数,原始预测上涨数,原始预测下跌数,实际上涨数,实际下跌数,原始准确率,降噪后股票预测数,降噪后原始正确数,降噪后原始准确率,修正后正确数,修正后预测上涨数,修正后预测下跌数,修正后准确率,降噪后修正正确数,降噪后修正准确率
2026-04-01,震荡,常规环境,227,137,187,40,121,106,60.35%,129,85,65.89%,137,187,40,60.35%,85,65.89%
2026-04-02,强上涨,恐慌释放高,227,150,161,66,174,53,66.08%,167,115,68.86%,150,161,66,66.08%,115,68.86%
2026-04-03,强上涨,弱势延续高,227,175,206,21,184,43,77.09%,186,154,82.80%,175,206,21,77.09%,154,82.80%
2026-04-07,强上涨,常规环境,227,187,223,4,189,38,82.38%,190,164,86.32%,187,223,4,82.38%,164,86.32%
2026-04-08,震荡,过热回落高,227,124,159,68,124,103,54.63%,125,76,60.80%,124,159,68,54.63%,76,60.80%
2026-04-09,强上涨,常规环境,227,160,182,45,183,44,70.48%,153,113,73.86%,160,182,45,70.48%,113,73.86%
2026-04-10,强上涨,过热回落高,227,144,166,61,165,62,63.44%,162,115,70.99%,144,166,61,63.44%,115,70.99%
2026-04-13,强上涨,常规环境,227,59,16,211,182,45,25.99%,157,39,24.84%,59,16,211,25.99%,39,24.84%
2026-04-14,普涨,过热回落高,227,158,162,65,155,72,69.60%,141,108,76.60%,158,162,65,69.60%,108,76.60%
2026-04-15,强上涨,常规环境,227,170,189,38,166,61,74.89%,160,127,79.38%,170,189,38,74.89%,127,79.38%
2026-04-16,震荡,过热回落高,228,128,182,46,110,118,56.14%,152,93,61.18%,128,182,46,56.14%,93,61.18%
2026-04-17,普跌,常规环境,228,125,169,59,92,136,54.82%,162,89,54.94%,139,3,225,60.96%,102,62.96%
2026-04-20,普跌,常规环境,228,124,177,51,89,139,54.39%,164,88,53.66%,143,90,138,62.72%,105,64.02%
2026-04-21,普跌,常规环境,228,148,25,203,79,149,64.91%,173,120,69.36%,142,35,193,62.28%,114,65.90%
2026-04-22,普跌,常规环境,227,115,176,51,84,143,50.66%,180,91,50.56%,144,3,224,63.44%,120,66.67%
2026-04-23,震荡,恐慌释放高,226,128,183,43,107,119,56.64%,166,96,57.83%,128,183,43,56.64%,96,57.83%
2026-04-24,普涨,常规环境,228,154,208,20,146,82,67.54%,152,105,69.08%,153,211,17,67.11%,103,67.76%
2026-04-27,普涨,常规环境,228,164,223,5,159,69,71.93%,159,126,79.25%,164,223,5,71.93%,126,79.25%
2026-04-28,强上涨,恐慌释放高,227,187,218,9,186,41,82.38%,195,172,88.21%,186,227,0,81.94%,171,87.69%
2026-04-29,强上涨,常规环境,228,181,222,6,179,49,79.39%,178,153,85.96%,181,222,6,79.39%,153,85.96%
2026-04-30,普涨,常规环境,228,153,193,35,158,70,67.11%,172,127,73.84%,153,193,35,67.11%,127,73.84%
