实际市场状态,锚点日期,市场风险标签,日期数,股票预测数,原始正确数,修正后正确数,预测上涨数,预测下跌数,实际上涨数,实际下跌数,噪声样本数,平均未来5日上涨比例,平均预测上涨概率,降噪后股票预测数,降噪后原始正确数,降噪后修正正确数,原始准确率,修正后准确率,降噪后原始准确率,降噪后修正准确率,预测上涨占比,实际上涨占比
强上涨,2025-07-15,常规环境,1,211,165,171,198,13,166,45,76,78.67%,45.10%,135,111,117,78.20%,81.04%,82.22%,86.67%,93.84%,78.67%
强上涨,2025-08-12,常规环境,1,213,93,154,209,4,158,55,72,74.18%,58.33%,141,60,115,43.66%,72.30%,42.55%,81.56%,98.12%,74.18%
强下跌,2025-10-15,常规环境,1,216,71,158,2,214,60,156,67,27.78%,52.50%,149,47,114,32.87%,73.15%,31.54%,76.51%,0.93%,27.78%
强下跌,2025-11-12,常规环境,1,217,69,160,0,217,57,160,66,26.27%,45.22%,151,45,116,31.80%,73.73%,29.80%,76.82%,0.00%,26.27%
普涨,2025-09-09,常规环境,1,216,121,132,176,40,120,96,80,55.56%,48.92%,136,79,90,56.02%,61.11%,58.09%,66.18%,81.48%,55.56%
普跌,2025-07-01,常规环境,1,211,115,123,113,98,93,118,100,44.08%,37.20%,111,64,67,54.50%,58.29%,57.66%,60.36%,53.55%,44.08%
普跌,2025-08-26,常规环境,1,215,81,147,1,214,67,148,44,31.16%,43.59%,171,65,121,37.67%,68.37%,38.01%,70.76%,0.47%,31.16%
普跌,2025-12-10,常规环境,1,218,91,130,0,218,88,130,61,40.37%,47.85%,157,65,97,41.74%,59.63%,41.40%,61.78%,0.00%,40.37%
震荡,2025-07-29,常规环境,1,211,111,100,203,8,98,113,103,46.45%,56.93%,108,53,60,52.61%,47.39%,49.07%,55.56%,96.21%,46.45%
震荡,2025-09-23,恐慌释放高,1,215,120,120,210,5,117,98,85,54.42%,52.14%,130,80,80,55.81%,55.81%,61.54%,61.54%,97.67%,54.42%
