日期,样本数,硬异常数,软异常数,通过清洗数,特征缺失偏高数,平均特征缺失率,硬异常率,软异常率
2025-04-15,185,0,4,185,185,0.5104247104247104,0.0,0.021621621621621623
2025-04-16,209,0,4,209,209,0.43579728542134555,0.0,0.019138755980861243
2025-04-17,209,0,3,209,209,0.42857142857142855,0.0,0.014354066985645933
2025-04-18,209,0,2,209,209,0.4105067864466361,0.0,0.009569377990430622
2025-04-21,209,0,2,209,24,0.33590469680695245,0.0,0.009569377990430622
2025-04-22,209,0,4,209,0,0.23620740162093545,0.0,0.019138755980861243
2025-04-23,209,0,4,209,0,0.22448979591836735,0.0,0.019138755980861243
2025-04-24,209,0,2,209,0,0.22448979591836735,0.0,0.009569377990430622
2025-04-25,209,0,5,209,0,0.22448979591836735,0.0,0.023923444976076555
2025-04-28,208,0,0,208,0,0.152276295133438,0.0,0.0
2025-04-29,208,0,4,208,0,0.1070447409733124,0.0,0.019230769230769232
2025-04-30,209,0,12,209,0,0.10223610975490675,0.0,0.05741626794258373
2025-05-06,208,0,7,208,0,0.1022370486656201,0.0,0.03365384615384615
2025-05-07,208,0,6,208,0,0.10213893249607536,0.0,0.028846153846153848
2025-05-08,208,0,8,208,0,0.10213893249607536,0.0,0.038461538461538464
2025-05-09,208,0,8,208,0,0.1022370486656201,0.0,0.038461538461538464
2025-05-12,208,0,4,208,0,0.10213893249607536,0.0,0.019230769230769232
2025-05-13,208,0,3,208,0,0.10213893249607536,0.0,0.014423076923076924
2025-05-14,208,0,5,208,0,0.10213893249607536,0.0,0.02403846153846154
2025-05-15,208,0,3,208,0,0.030612244897959183,0.0,0.014423076923076924
2025-05-16,208,0,5,208,0,0.002551020408163265,0.0,0.02403846153846154
2025-05-19,210,0,3,210,1,0.0028182701652089406,0.0,0.014285714285714285
2025-05-20,210,0,1,210,1,0.002526724975704567,0.0,0.004761904761904762
2025-05-21,210,0,4,210,1,0.002526724975704567,0.0,0.01904761904761905
2025-05-22,210,0,2,210,1,0.0024295432458697765,0.0,0.009523809523809525
2025-05-23,210,0,0,210,0,0.002040816326530612,0.0,0.0
2025-05-26,210,0,0,210,0,0.001554907677356657,0.0,0.0
2025-05-27,210,0,0,210,0,0.001554907677356657,0.0,0.0
2025-05-28,210,0,2,210,0,0.0011661807580174927,0.0,0.009523809523809525
2025-05-29,210,0,5,210,0,0.0010689990281827016,0.0,0.023809523809523808
2025-05-30,210,0,2,210,0,0.0006802721088435374,0.0,0.009523809523809525
2025-06-03,210,0,3,210,0,0.0004859086491739553,0.0,0.014285714285714285
2025-06-04,210,0,2,210,0,0.0004859086491739553,0.0,0.009523809523809525
2025-06-05,210,0,3,210,0,0.0004859086491739553,0.0,0.014285714285714285
2025-06-06,210,0,2,210,0,0.0004859086491739553,0.0,0.009523809523809525
2025-06-09,210,0,4,210,0,0.0004859086491739553,0.0,0.01904761904761905
2025-06-10,210,0,3,210,0,0.0004859086491739553,0.0,0.014285714285714285
2025-06-11,210,0,4,210,0,0.0004859086491739553,0.0,0.01904761904761905
2025-06-12,210,0,2,210,0,0.0004859086491739553,0.0,0.009523809523809525
2025-06-13,210,0,4,210,0,0.0004859086491739553,0.0,0.01904761904761905
2025-06-16,210,0,2,210,0,9.718172983479105e-05,0.0,0.009523809523809525
