锚点日期,代码,名称,行业,收盘,5月15快照价,实际5日涨跌幅_快照,实际涨跌_快照,预测上涨概率,原始预测涨跌,修正后预测涨跌,原始预测是否准确_快照,修正后预测是否准确_快照,修正原因,时间戳,数据源
2026-05-08,002940,昂利康,化学制药,31.98,43.23,35.17823639774858,上涨,0.6728305200198272,上涨,下跌,1,0,极端满格过热且连续上涨，原始上涨改下跌,2026-05-15 15:00:00,sina_snapshot
2026-05-08,002971,和远气体,化学制品,31.15,41.21,32.295345104333876,上涨,0.7249898154770297,上涨,下跌,1,0,极端满格过热且连续上涨，原始上涨改下跌,2026-05-15 15:00:00,sina_snapshot
2026-05-08,000811,冰轮环境,通用设备,26.28,33.12,26.027397260273965,上涨,0.7352883005743939,上涨,下跌,1,0,极端满格过热且连续上涨，原始上涨改下跌,2026-05-15 15:00:00,sina_snapshot
2026-05-08,603272,*ST联翔,家居用品,26.1,32.74,25.440613026819925,上涨,0.7222127491421948,上涨,下跌,1,0,极端满格过热且连续上涨，原始上涨改下跌,2026-05-15 15:00:03,sina_snapshot
2026-05-08,603895,天永智能,专用设备,31.9,39.62,24.20062695924765,上涨,0.6045814088939093,上涨,下跌,1,0,极端满格过热且连续上涨，原始上涨改下跌,2026-05-15 15:00:04,sina_snapshot
2026-05-08,603082,北自科技,自动化设备,35.7,42.3,18.48739495798317,上涨,0.6133384989148883,上涨,下跌,1,0,极端满格过热且连续上涨，原始上涨改下跌,2026-05-15 15:00:04,sina_snapshot
2026-05-08,002380,科远智慧,IT服务Ⅱ,36.21,42.18,16.487158243579113,上涨,0.5258966172885002,上涨,下跌,1,0,极端满格过热且连续上涨，原始上涨改下跌,2026-05-15 15:00:00,sina_snapshot
2026-05-08,002552,宝鼎科技,元件,27.65,32.13,16.20253164556964,上涨,0.6649463704676568,上涨,下跌,1,0,极端满格过热且连续上涨，原始上涨改下跌,2026-05-15 15:00:00,sina_snapshot
2026-05-08,603978,深圳新星,金属新材料,29.38,33.9,15.384615384615374,上涨,0.7169918284656472,上涨,下跌,1,0,极端满格过热且连续上涨，原始上涨改下跌,2026-05-15 15:00:03,sina_snapshot
2026-05-08,000935,四川双马,多元金融,28.5,32.73,14.84210526315788,上涨,0.7804603544266331,上涨,下跌,1,0,极端满格过热且连续上涨，原始上涨改下跌,2026-05-15 15:00:00,sina_snapshot
2026-05-08,002757,南兴股份,专用设备,29.02,31.95,10.096485182632664,上涨,0.5425861056337815,上涨,下跌,1,0,极端满格过热且连续上涨，原始上涨改下跌,2026-05-15 15:00:00,sina_snapshot
2026-05-08,002902,铭普光磁,通信设备,36.18,39.6,9.452736318407972,上涨,0.4203889274199001,上涨,下跌,1,0,极端满格过热且连续上涨，原始上涨改下跌,2026-05-15 15:00:00,sina_snapshot
2026-05-08,000021,深科技,消费电子,31.02,33.66,8.51063829787233,上涨,0.7419284614614731,上涨,下跌,1,0,极端满格过热且连续上涨，原始上涨改下跌,2026-05-15 15:00:00,sina_snapshot
2026-05-08,000880,潍柴重机,汽车零部件,30.0,32.48,8.266666666666666,上涨,0.7632765025787434,上涨,下跌,1,0,极端满格过热且连续上涨，原始上涨改下跌,2026-05-15 15:00:00,sina_snapshot
2026-05-08,603211,晋拓股份,汽车零部件,28.15,30.47,8.241563055062162,上涨,0.7127990920555166,上涨,下跌,1,0,极端满格过热且连续上涨，原始上涨改下跌,2026-05-15 15:00:03,sina_snapshot
