锚点日期,实际市场状态,市场风险标签,总股票数,观望数,出手数,出手准确数,出手上涨数,出手下跌数,实际上涨数,实际下跌数,覆盖率,出手准确率
2026-03-02,强下跌,恐慌释放高,223,0,223,153,34,189,52,171,100.00%,68.61%
2026-03-03,普涨,恐慌释放高,223,0,223,160,213,10,154,69,100.00%,71.75%
2026-03-04,强上涨,弱势延续高,223,0,223,171,216,7,166,57,100.00%,76.68%
2026-03-05,普涨,弱势延续高,224,224,0,0,0,0,0,0,0.00%,
2026-03-06,普跌,弱势延续高,224,224,0,0,0,0,0,0,0.00%,
2026-03-09,震荡,弱势延续高,225,225,0,0,0,0,0,0,0.00%,
2026-03-10,强下跌,过热回落高,225,0,225,177,0,225,48,177,100.00%,78.67%
2026-03-11,强下跌,常规环境,225,0,225,158,33,192,52,173,100.00%,70.22%
2026-03-12,强下跌,恐慌释放高,225,0,225,188,0,225,37,188,100.00%,83.56%
2026-03-13,强下跌,常规环境,225,0,225,200,0,225,25,200,100.00%,88.89%
2026-03-16,强下跌,常规环境,225,0,225,209,0,225,16,209,100.00%,92.89%
2026-03-17,强下跌,弱势延续高,225,0,225,200,0,225,25,200,100.00%,88.89%
2026-03-18,强下跌,弱势延续高,226,0,226,200,0,226,26,200,100.00%,88.50%
2026-03-19,强下跌,恐慌释放高+弱势延续高,226,0,226,187,0,226,39,187,100.00%,82.74%
2026-03-20,普跌,弱势延续高,226,0,226,145,0,226,81,145,100.00%,64.16%
2026-03-23,强上涨,恐慌释放高+弱势延续高,226,0,226,185,226,0,185,41,100.00%,81.86%
2026-03-24,震荡,弱势延续高,226,226,0,0,0,0,0,0,0.00%,
2026-03-25,震荡,弱势延续高,226,226,0,0,0,0,0,0,0.00%,
2026-03-26,震荡,弱势延续高,226,226,0,0,0,0,0,0,0.00%,
2026-03-27,强下跌,常规环境,226,0,226,162,0,226,64,162,100.00%,71.68%
2026-03-30,普跌,常规环境,226,0,226,154,0,226,72,154,100.00%,68.14%
2026-03-31,强上涨,常规环境,227,0,227,185,227,0,185,42,100.00%,81.50%
