锚点日期,实际市场状态,市场风险标签,总股票数,观望数,出手数,出手准确数,出手上涨数,出手下跌数,实际上涨数,实际下跌数,覆盖率,出手准确率
2025-08-01,强上涨,常规环境,212,0,212,157,212,0,157,55,100.00%,74.06%
2025-08-04,强上涨,过热回落高,212,0,212,167,205,7,160,52,100.00%,78.77%
2025-08-05,普涨,过热回落高,212,0,212,144,199,13,133,79,100.00%,67.92%
2025-08-06,普涨,过热回落高,212,0,212,132,180,32,132,80,100.00%,62.26%
2025-08-07,震荡,常规环境,212,0,212,123,96,116,101,111,100.00%,58.02%
2025-08-08,普涨,常规环境,213,0,213,103,79,134,141,72,100.00%,48.36%
2025-08-11,普涨,过热回落高,213,0,213,128,195,18,144,69,100.00%,60.09%
2025-08-12,强上涨,常规环境,213,0,213,107,96,117,158,55,100.00%,50.23%
2025-08-13,强上涨,常规环境,213,0,213,123,148,65,158,55,100.00%,57.75%
2025-08-14,强上涨,恐慌释放高,214,0,214,168,196,18,176,38,100.00%,78.50%
2025-08-15,强上涨,过热回落高,214,0,214,104,92,122,160,54,100.00%,48.60%
2025-08-18,强上涨,过热回落高,214,0,214,109,99,115,154,60,100.00%,50.93%
2025-08-19,强上涨,常规环境,214,0,214,69,6,208,151,63,100.00%,32.24%
2025-08-20,普跌,过热回落高,215,0,215,108,98,117,89,126,100.00%,50.23%
2025-08-21,震荡,常规环境,215,0,215,107,35,180,105,110,100.00%,49.77%
2025-08-22,震荡,常规环境,215,0,215,100,107,108,98,117,100.00%,46.51%
2025-08-25,震荡,过热回落高,215,0,215,105,174,41,98,117,100.00%,48.84%
2025-08-26,普跌,常规环境,215,0,215,81,175,40,67,148,100.00%,37.67%
2025-08-27,普跌,恐慌释放高,215,0,215,79,211,4,77,138,100.00%,36.74%
2025-08-28,普跌,常规环境,216,0,216,88,175,41,65,151,100.00%,40.74%
2025-08-29,普跌,常规环境,216,0,216,112,141,75,87,129,100.00%,51.85%
