锚点日期,实际市场状态,市场风险标签,总股票数,观望数,出手数,出手准确数,出手上涨数,出手下跌数,实际上涨数,实际下跌数,覆盖率,出手准确率
2025-10-09,普跌,常规环境,216,0,216,87,148,68,69,147,100.00%,40.28%
2025-10-10,强下跌,常规环境,216,0,216,52,196,20,44,172,100.00%,24.07%
2025-10-13,强下跌,常规环境,216,0,216,139,59,157,60,156,100.00%,64.35%
2025-10-14,震荡,恐慌释放高,216,0,216,109,209,7,108,108,100.00%,50.46%
2025-10-15,强下跌,常规环境,216,0,216,72,202,14,60,156,100.00%,33.33%
2025-10-16,普跌,弱势延续高,216,0,216,82,212,4,78,138,100.00%,37.96%
2025-10-17,强上涨,恐慌释放高+弱势延续高,216,0,216,172,214,2,170,46,100.00%,79.63%
2025-10-20,强上涨,弱势延续高,215,0,215,168,215,0,168,47,100.00%,78.14%
2025-10-21,普涨,常规环境,215,0,215,140,196,19,137,78,100.00%,65.12%
2025-10-22,强上涨,常规环境,215,0,215,165,213,2,163,52,100.00%,76.74%
2025-10-23,普涨,常规环境,215,0,215,132,212,3,131,84,100.00%,61.40%
2025-10-24,普涨,过热回落高,215,0,215,122,178,37,127,88,100.00%,56.74%
2025-10-27,震荡,过热回落高,215,0,215,109,167,48,117,98,100.00%,50.70%
2025-10-28,震荡,常规环境,215,0,215,117,1,214,97,118,100.00%,54.42%
2025-10-29,普跌,常规环境,215,0,215,97,122,93,78,137,100.00%,45.12%
2025-10-30,震荡,恐慌释放高,215,0,215,100,0,215,115,100,100.00%,46.51%
2025-10-31,普跌,常规环境,215,0,215,120,176,39,87,128,100.00%,55.81%
