锚点日期,实际市场状态,市场风险标签,总股票数,观望数,出手数,出手准确数,出手准确率,覆盖率
2025-12-01,普跌,过热回落高,217,217,0,0,,0.00%
2025-12-02,震荡,常规环境,218,218,0,0,,0.00%
2025-12-03,普涨,常规环境,218,218,0,0,,0.00%
2025-12-04,震荡,常规环境,218,218,0,0,,0.00%
2025-12-05,普跌,常规环境,218,218,0,0,,0.00%
2025-12-08,普跌,常规环境,218,218,0,0,,0.00%
2025-12-09,普跌,恐慌释放高,218,218,0,0,,0.00%
2025-12-10,普跌,常规环境,218,218,0,0,,0.00%
2025-12-11,普跌,恐慌释放高,218,218,0,0,,0.00%
2025-12-12,普跌,常规环境,218,218,0,0,,0.00%
2025-12-15,普涨,常规环境,218,218,0,0,,0.00%
2025-12-16,强上涨,弱势延续高,218,218,0,0,,0.00%
2025-12-17,强上涨,常规环境,218,218,0,0,,0.00%
2025-12-18,强上涨,常规环境,219,219,0,0,,0.00%
2025-12-19,普涨,常规环境,219,219,0,0,,0.00%
2025-12-22,普涨,常规环境,219,219,0,0,,0.00%
2025-12-23,普涨,常规环境,219,219,0,0,,0.00%
2025-12-24,震荡,过热回落高,219,219,0,0,,0.00%
2025-12-25,普涨,过热回落高,220,220,0,0,,0.00%
2025-12-26,强上涨,常规环境,220,220,0,0,,0.00%
2025-12-29,强上涨,常规环境,220,220,0,0,,0.00%
2025-12-30,强上涨,常规环境,220,220,0,0,,0.00%
2025-12-31,强上涨,常规环境,220,220,0,0,,0.00%
