锚点日期,实际市场状态,市场风险标签,总股票数,观望数,出手数,出手准确数,出手上涨数,出手下跌数,实际上涨数,实际下跌数,覆盖率,出手准确率
2025-09-01,震荡,常规环境,216,216,0,0,0,0,0,0,0.00%,
2025-09-02,震荡,恐慌释放高,216,216,0,0,0,0,0,0,0.00%,
2025-09-03,普涨,常规环境,216,216,0,0,0,0,0,0,0.00%,
2025-09-04,强上涨,弱势延续高,216,99,117,104,117,0,104,13,54.17%,88.89%
2025-09-05,普涨,常规环境,216,216,0,0,0,0,0,0,0.00%,
2025-09-08,普跌,常规环境,216,216,0,0,0,0,0,0,0.00%,
2025-09-09,普涨,常规环境,216,216,0,0,0,0,0,0,0.00%,
2025-09-10,普涨,常规环境,216,216,0,0,0,0,0,0,0.00%,
2025-09-11,普跌,过热回落高,216,216,0,0,0,0,0,0,0.00%,
2025-09-12,普跌,常规环境,216,216,0,0,0,0,0,0,0.00%,
2025-09-15,普跌,常规环境,216,216,0,0,0,0,0,0,0.00%,
2025-09-16,强下跌,常规环境,216,216,0,0,0,0,0,0,0.00%,
2025-09-17,普跌,常规环境,215,215,0,0,0,0,0,0,0.00%,
2025-09-18,普跌,恐慌释放高,215,215,0,0,0,0,0,0,0.00%,
2025-09-19,普跌,常规环境,215,215,0,0,0,0,0,0,0.00%,
2025-09-22,普跌,常规环境,215,215,0,0,0,0,0,0,0.00%,
2025-09-23,震荡,恐慌释放高,215,215,0,0,0,0,0,0,0.00%,
2025-09-24,震荡,常规环境,215,215,0,0,0,0,0,0,0.00%,
2025-09-25,震荡,常规环境,215,215,0,0,0,0,0,0,0.00%,
2025-09-26,震荡,常规环境,215,215,0,0,0,0,0,0,0.00%,
2025-09-29,普跌,常规环境,215,215,0,0,0,0,0,0,0.00%,
2025-09-30,震荡,常规环境,216,216,0,0,0,0,0,0,0.00%,
