锚点日期,实际市场状态,市场风险标签,总股票数,观望数,出手数,出手准确数,出手上涨数,出手下跌数,实际上涨数,实际下跌数,覆盖率,出手准确率
2025-08-01,强上涨,常规环境,212,0,212,157,212,0,157,55,100.00%,74.06%
2025-08-04,强上涨,过热回落高,212,0,212,165,203,9,160,52,100.00%,77.83%
2025-08-05,普涨,过热回落高,212,0,212,139,206,6,133,79,100.00%,65.57%
2025-08-06,普涨,过热回落高,212,0,212,133,197,15,132,80,100.00%,62.74%
2025-08-07,震荡,常规环境,212,0,212,118,115,97,101,111,100.00%,55.66%
2025-08-08,普涨,常规环境,213,0,213,121,91,122,141,72,100.00%,56.81%
2025-08-11,普涨,过热回落高,213,0,213,139,206,7,144,69,100.00%,65.26%
2025-08-12,强上涨,常规环境,213,0,213,105,96,117,158,55,100.00%,49.30%
2025-08-13,强上涨,常规环境,213,0,213,149,184,29,158,55,100.00%,69.95%
2025-08-14,强上涨,恐慌释放高,214,0,214,174,208,6,176,38,100.00%,81.31%
2025-08-15,强上涨,过热回落高,214,0,214,100,82,132,160,54,100.00%,46.73%
2025-08-18,强上涨,过热回落高,214,0,214,106,96,118,154,60,100.00%,49.53%
2025-08-19,强上涨,常规环境,214,0,214,71,10,204,151,63,100.00%,33.18%
2025-08-20,普跌,过热回落高,215,0,215,104,108,107,89,126,100.00%,48.37%
2025-08-21,震荡,常规环境,215,0,215,111,33,182,105,110,100.00%,51.63%
2025-08-22,震荡,常规环境,215,0,215,99,114,101,98,117,100.00%,46.05%
2025-08-25,震荡,过热回落高,215,0,215,105,170,45,98,117,100.00%,48.84%
2025-08-26,普跌,常规环境,215,0,215,85,175,40,67,148,100.00%,39.53%
2025-08-27,普跌,恐慌释放高,215,0,215,79,213,2,77,138,100.00%,36.74%
2025-08-28,普跌,常规环境,216,0,216,92,177,39,65,151,100.00%,42.59%
2025-08-29,普跌,常规环境,216,0,216,106,159,57,87,129,100.00%,49.07%
