锚点日期,实际市场状态,市场风险标签,总股票数,观望数,出手数,出手准确数,出手上涨数,出手下跌数,实际上涨数,实际下跌数,覆盖率,出手准确率
2026-04-01,震荡,常规环境,227,0,227,109,97,130,121,106,100.00%,48.02%
2026-04-02,强上涨,恐慌释放高,227,0,227,175,214,13,174,53,100.00%,77.09%
2026-04-03,强上涨,弱势延续高,227,0,227,180,221,6,184,43,100.00%,79.30%
2026-04-07,强上涨,常规环境,227,0,227,186,222,5,189,38,100.00%,81.94%
2026-04-08,震荡,过热回落高,227,0,227,120,223,4,124,103,100.00%,52.86%
2026-04-09,强上涨,常规环境,227,0,227,85,85,142,183,44,100.00%,37.44%
2026-04-10,强上涨,过热回落高,227,0,227,141,185,42,165,62,100.00%,62.11%
2026-04-13,强上涨,常规环境,227,0,227,133,136,91,182,45,100.00%,58.59%
2026-04-14,普涨,过热回落高,227,0,227,152,220,7,155,72,100.00%,66.96%
2026-04-15,强上涨,常规环境,227,0,227,166,221,6,166,61,100.00%,73.13%
2026-04-16,震荡,过热回落高,228,0,228,120,166,62,110,118,100.00%,52.63%
2026-04-17,普跌,常规环境,228,0,228,136,0,228,92,136,100.00%,59.65%
2026-04-20,普跌,常规环境,228,0,228,124,97,131,89,139,100.00%,54.39%
2026-04-21,普跌,常规环境,228,0,228,146,19,209,79,149,100.00%,64.04%
2026-04-22,普跌,常规环境,227,0,227,143,0,227,84,143,100.00%,63.00%
2026-04-23,震荡,恐慌释放高,226,0,226,113,158,68,107,119,100.00%,50.00%
2026-04-24,普涨,常规环境,228,0,228,148,220,8,146,82,100.00%,64.91%
2026-04-27,普涨,常规环境,228,0,228,162,219,9,159,69,100.00%,71.05%
2026-04-28,强上涨,恐慌释放高,227,0,227,184,225,2,186,41,100.00%,81.06%
2026-04-29,强上涨,常规环境,228,0,228,179,228,0,179,49,100.00%,78.51%
2026-04-30,普涨,常规环境,228,0,228,156,226,2,158,70,100.00%,68.42%
