锚点日期,实际市场状态,市场风险标签,总股票数,观望数,出手数,出手准确数,出手上涨数,出手下跌数,实际上涨数,实际下跌数,覆盖率,出手准确率
2026-02-02,强上涨,恐慌释放高+弱势延续高,223,0,223,185,212,11,188,35,100.00%,82.96%
2026-02-03,普涨,弱势延续高,224,0,224,129,221,3,128,96,100.00%,57.59%
2026-02-04,普涨,常规环境,224,0,224,128,219,5,127,97,100.00%,57.14%
2026-02-05,普涨,常规环境,224,0,224,147,209,15,142,82,100.00%,65.62%
2026-02-06,震荡,常规环境,224,0,224,127,206,18,117,107,100.00%,56.70%
2026-02-09,普涨,过热回落高,224,0,224,135,186,38,125,99,100.00%,60.27%
2026-02-10,普涨,常规环境,224,0,224,146,200,24,138,86,100.00%,65.18%
2026-02-11,普涨,常规环境,224,0,224,147,203,21,136,88,100.00%,65.62%
2026-02-12,普涨,常规环境,224,0,224,149,193,31,148,76,100.00%,66.52%
2026-02-13,震荡,常规环境,224,0,224,110,208,16,102,122,100.00%,49.11%
2026-02-24,强下跌,常规环境,223,0,223,172,0,223,51,172,100.00%,77.13%
2026-02-25,强下跌,常规环境,223,0,223,182,0,223,41,182,100.00%,81.61%
2026-02-26,强下跌,常规环境,223,0,223,162,42,181,47,176,100.00%,72.65%
2026-02-27,强下跌,常规环境,223,0,223,73,191,32,47,176,100.00%,32.74%
