月份,锚点日期,实际市场状态,市场风险标签,出手数,正确数,出手上涨数,出手下跌数,准确率
2025-10,2025-10-09,普跌,常规环境,2,1,0,2,50.00%
2025-10,2025-10-10,强下跌,常规环境,2,2,0,2,100.00%
2025-10,2025-10-13,强下跌,常规环境,2,2,1,1,100.00%
2025-10,2025-10-14,震荡,恐慌释放高,2,2,2,0,100.00%
2025-10,2025-10-15,强下跌,常规环境,2,2,1,1,100.00%
2025-10,2025-10-16,普跌,弱势延续高,2,1,2,0,50.00%
2025-10,2025-10-17,强上涨,恐慌释放高+弱势延续高,10,10,10,0,100.00%
2025-10,2025-10-20,强上涨,弱势延续高,10,10,10,0,100.00%
2025-10,2025-10-21,普涨,常规环境,2,2,0,2,100.00%
2025-10,2025-10-22,强上涨,常规环境,2,2,2,0,100.00%
2025-10,2025-10-23,普涨,常规环境,2,1,0,2,50.00%
2025-10,2025-10-24,普涨,过热回落高,2,0,0,2,0.00%
2025-10,2025-10-27,震荡,过热回落高,2,1,0,2,50.00%
2025-10,2025-10-28,震荡,常规环境,2,1,0,2,50.00%
2025-10,2025-10-29,普跌,常规环境,2,2,0,2,100.00%
2025-10,2025-10-30,震荡,恐慌释放高,2,1,0,2,50.00%
2025-10,2025-10-31,普跌,常规环境,2,2,0,2,100.00%
2025-11,2025-11-03,震荡,常规环境,2,2,0,2,100.00%
2025-11,2025-11-04,普涨,常规环境,2,2,1,1,100.00%
2025-11,2025-11-05,普跌,常规环境,2,2,0,2,100.00%
2025-11,2025-11-06,震荡,过热回落高,2,1,1,1,50.00%
2025-11,2025-11-07,震荡,常规环境,2,0,0,2,0.00%
2025-11,2025-11-10,普跌,常规环境,2,2,0,2,100.00%
2025-11,2025-11-11,强下跌,常规环境,2,2,0,2,100.00%
2025-11,2025-11-12,强下跌,常规环境,2,2,0,2,100.00%
2025-11,2025-11-13,强下跌,常规环境,2,2,0,2,100.00%
2025-11,2025-11-14,强下跌,常规环境,2,2,0,2,100.00%
2025-11,2025-11-17,强下跌,常规环境,2,1,1,1,50.00%
2025-11,2025-11-18,强下跌,常规环境,2,1,1,1,50.00%
2025-11,2025-11-19,强下跌,常规环境,2,1,1,1,50.00%
2025-11,2025-11-20,强下跌,弱势延续高,2,0,2,0,0.00%
2025-11,2025-11-21,强上涨,恐慌释放高+弱势延续高,10,9,10,0,90.00%
2025-11,2025-11-24,强上涨,弱势延续高,10,10,10,0,100.00%
2025-11,2025-11-25,普涨,弱势延续高,10,5,10,0,50.00%
2025-11,2025-11-26,震荡,常规环境,2,1,1,1,50.00%
2025-11,2025-11-27,震荡,常规环境,2,1,0,2,50.00%
2025-11,2025-11-28,震荡,过热回落高,2,2,2,0,100.00%
2025-12,2025-12-01,普跌,过热回落高,2,0,2,0,0.00%
2025-12,2025-12-02,震荡,常规环境,2,0,2,0,0.00%
2025-12,2025-12-03,普涨,常规环境,2,2,0,2,100.00%
2025-12,2025-12-04,震荡,常规环境,2,1,0,2,50.00%
2025-12,2025-12-05,普跌,常规环境,2,1,1,1,50.00%
2025-12,2025-12-08,普跌,常规环境,2,2,0,2,100.00%
2025-12,2025-12-09,普跌,恐慌释放高,2,0,0,2,0.00%
2025-12,2025-12-10,普跌,常规环境,2,0,0,2,0.00%
2025-12,2025-12-11,普跌,恐慌释放高,2,0,0,2,0.00%
2025-12,2025-12-12,普跌,常规环境,2,2,0,2,100.00%
2025-12,2025-12-15,普涨,常规环境,2,2,0,2,100.00%
2025-12,2025-12-16,强上涨,弱势延续高,2,2,0,2,100.00%
2025-12,2025-12-17,强上涨,常规环境,2,2,2,0,100.00%
2025-12,2025-12-18,强上涨,常规环境,2,1,0,2,50.00%
2025-12,2025-12-19,普涨,常规环境,2,2,1,1,100.00%
2025-12,2025-12-22,普涨,常规环境,2,1,0,2,50.00%
2025-12,2025-12-23,普涨,常规环境,2,1,0,2,50.00%
2025-12,2025-12-24,震荡,过热回落高,2,1,0,2,50.00%
2025-12,2025-12-25,普涨,过热回落高,2,0,0,2,0.00%
2025-12,2025-12-26,强上涨,常规环境,2,0,0,2,0.00%
2025-12,2025-12-29,强上涨,常规环境,2,2,0,2,100.00%
2025-12,2025-12-30,强上涨,常规环境,2,0,0,2,0.00%
2025-12,2025-12-31,强上涨,常规环境,2,1,0,2,50.00%
