锚点日期,实际市场状态,市场风险标签,总股票数,观望数,出手数,出手准确数,出手上涨数,出手下跌数,实际上涨数,实际下跌数,覆盖率,出手准确率
2025-11-03,震荡,常规环境,216,214,2,2,0,2,0,2,0.93%,100.00%
2025-11-04,普涨,常规环境,216,214,2,2,1,1,1,1,0.93%,100.00%
2025-11-05,普跌,常规环境,216,214,2,2,0,2,0,2,0.93%,100.00%
2025-11-06,震荡,过热回落高,216,214,2,1,1,1,2,0,0.93%,50.00%
2025-11-07,震荡,常规环境,217,215,2,0,0,2,2,0,0.92%,0.00%
2025-11-10,普跌,常规环境,217,215,2,2,0,2,0,2,0.92%,100.00%
2025-11-11,强下跌,常规环境,217,215,2,2,0,2,0,2,0.92%,100.00%
2025-11-12,强下跌,常规环境,217,215,2,2,0,2,0,2,0.92%,100.00%
2025-11-13,强下跌,常规环境,217,215,2,2,0,2,0,2,0.92%,100.00%
2025-11-14,强下跌,常规环境,217,215,2,2,0,2,0,2,0.92%,100.00%
2025-11-17,强下跌,常规环境,217,215,2,1,1,1,0,2,0.92%,50.00%
2025-11-18,强下跌,常规环境,217,215,2,1,1,1,0,2,0.92%,50.00%
2025-11-19,强下跌,常规环境,218,216,2,1,1,1,0,2,0.92%,50.00%
2025-11-20,强下跌,弱势延续高,217,215,2,0,2,0,0,2,0.92%,0.00%
2025-11-21,强上涨,恐慌释放高+弱势延续高,217,207,10,9,10,0,9,1,4.61%,90.00%
2025-11-24,强上涨,弱势延续高,217,207,10,10,10,0,10,0,4.61%,100.00%
2025-11-25,普涨,弱势延续高,217,207,10,5,10,0,5,5,4.61%,50.00%
2025-11-26,震荡,常规环境,217,215,2,1,1,1,0,2,0.92%,50.00%
2025-11-27,震荡,常规环境,217,215,2,1,0,2,1,1,0.92%,50.00%
2025-11-28,震荡,过热回落高,217,215,2,2,2,0,2,0,0.92%,100.00%
